Date,Price_Per_Unit,Advertising_costs,Discount,Temperature,Monthly_sales_total
1/12/2015,5.4,7234954.839,0.7182,35.0,1273347146.0
1/9/2015,5.4,7450141.896000002,0.7182,32.0,1303258161.0
1/11/2015,4.9,7410734.829,0.5635,22.0,1335228290.0
1/8/2015,4.7,7132892.322000002,0.5875,25.0,1408329096.0
1/4/2015,5.4,6699160.789,0.3834,35.0,1479581228.0
1/3/2015,4.5,6644256.364,0.35100000000000003,38.0,1485943421.0
1/5/2015,5.4,7047623.699,0.7398,21.0,1605647986.0
1/6/2015,3.8,8297727.131,0.0,25.0,1705535335.0
1/7/2015,5.3,8247021.827,0.6731,27.0,1781957055.0
1/1/2016,6.6,7371884.481000002,0.8844,24.0,1375545568.0
1/10/2016,6.8,6808533.725,0.476,34.0,1476727342.0
1/2/2016,6.1,6926868.075,0.8357,35.0,1530532015.0
1/12/2016,4.7,6957573.2579999985,0.4465,32.0,1532355351.0
1/9/2016,5.3,6945159.563999998,0.4346,27.0,1542484084.0
1/11/2016,6.6,6975109.489,0.7788,22.0,1591984164.0
1/8/2016,6.2,7686389.721,0.8556,21.0,1700259586.0
1/4/2016,5.1,8125265.853999998,0.6579,33.0,1885490186.0
1/5/2016,4.3,7885137.872,0.5934,35.0,1981351537.0
1/6/2016,4.0,7665771.004,0.56,38.0,2038881639.0
1/7/2016,5.4,7961091.222999998,0.7668,39.0,2260256197.0
1/3/2016,3.5,7429089.092,0.511,23.0,910562104.7766666
